"Date of Download: 2021-11-18_16:58:39"
"Search Parameters: Data Level:all  Trait List:  Trial List:1400  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Length to diameter ratio computation|CO_331:0000779","Number of plants harvested per NET plot|CO_331:0000679","Number of storage roots after harvest per NET plot|CO_331:0000233","Storage root appearance estimating 1-9 NCSU|CO_331:0000793","Storage root flesh color Carotenoids estimating 0-4|CO_331:0000782","Storage root shape uniformity estimating 1-9 by NCSU|CO_331:0000776","Storage root skin predominant color estimating 1-12 NCSU|CO_331:0000780","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","Weight of canner storage roots measuring kg per plot|CO_331:0000610","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","notes"
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","42907","Bellevue_G2","","plot","223349","18NCGT0014HCR_1001_1_Bellevue_G2","1","1","1001","1","1","test","","2.33","25","100","","","","","23.82","1.68","4.42","5.27","4.01","4.5","3.93","15.39",""
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","156003","NC10-0118_M28_G2","","plot","223347","18NCGT0014HCR_1002_1_NC10-0118M28_G2","1","1","1002","2","1","test","","2.25","25","60","","","","","15.2","1.64","1.81","3.54","2.89","1.89","3.42","9.88",""
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","42925","Burgundy_G2","","plot","223370","18NCGT0014HCR_1003_1_Burgundy_G2","1","1","1003","3","1","test","","2.29","25","92","5","3.5","5","8","21.98","2.21","1.89","6.05","5.07","3.28","3.48","15.22","defects: Crack:Crack:Taper:SizeDistri (Operator: ncsu, Time: ), percent rot: 50 (Operator: bellerbrock, Time: )"
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","156003","NC10-0118_M28_G2","","plot","223377","18NCGT0014HCR_1004_1_NC10-0118M28_G2","1","1","1004","4","1","test","","2.34","25","139","","","","","45.53","3.95","4.39","5.53","3.11","6.88","21.67","16.98",""
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","43057","Averre_G2","NC05-0198_G2","plot","223381","18NCGT0014HCR_1005_1_NC05-0198_G2","1","1","1005","5","1","test","","2.38","25","89","","","","","23.7","2.84","3.07","6.63","4.5","2.68","3.97","17.05",""
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","168557","L445","Radiance","plot","223369","18NCGT0014HCR_1006_1_L445","1","1","1006","6","1","test","","1.84","25","68","5","3.25","5","6","15.78","1.12","2.22","4.67","4.12","2.32","1.34","12.13","defects: Crack (Operator: ncsu, Time: ), percent rot: 20 (Operator: bellerbrock, Time: )"
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","82695","NC09-0122C1_G2","","plot","223303","18NCGT0014HCR_1007_1_NC09-0122C1_G2","1","1","1007","7","1","test","","2.45","25","62","","","","","13.83","1.19","2.23","2.21","3.67","2.59","1.95","9.29",""
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","43539","Orleans_G2","","plot","223375","18NCGT0014HCR_1008_1_Orleans_G2","1","1","1008","8","1","test","","2.42","25","94","5","3","5","6","19.02","2.27","1.3","5.82","5.95","3.68","0","15.34","defects: Disease (Operator: ncsu, Time: ), percent rot: 20 (Operator: bellerbrock, Time: )"
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","43047","NC04-0531_G2","","plot","223372","18NCGT0014HCR_1009_1_NC04-0531_G2","1","1","1009","9","1","test","","2.07","25","64","","","","","17.49","1.07","0.92","5.7","5.03","1.92","2.83","12.73",""
"2018","132","NCSU","NCSU Sweetpotato Breeding Program","1400","18NCGT0014HCR","National Collaborators Yield Trial at HCR. 6 reps","RCBD","1","8","","no","no","2018-June-14","2018-October-01","12","Clinton - Horticultural Crops Research","318009","Covington_G2","","plot","223317","18NCGT0014HCR_1010_1_Covington_G2","1","1","1010","10","1","check","","1.81","25","88","6","3","6","6","27.47","2.73","3.13","7.72","3.8","1.98","8.11","17.38","defects: Crack (Operator: ncsu, Time: ), percent rot: 20 (Operator: bellerbrock, Time: )"
